Census-Value,Correlation,n_routes,n_stops,n_trips,n_days,height_km,width_km,n_service_days,stop_spatial_density,trip_temporal_density,route_trip_avg
Population2021,Pearson,0.402873792713084,0.4912593888746203,0.40370888028966134,0.3687904818955603,-0.05184612296463123,-0.05105093144222589,-0.1312793046205943,0.408451027552536,0.5249403129440732,0.18070781842983136
Population2021,Spearman,0.33265097513584607,0.36550526290315777,0.312716097936298,0.3833820963905659,-0.06435070121182178,-0.11389311923445952,-0.2894156401362784,0.4487998650674906,0.31262899038812636,0.22658850968155855
Population2016,Pearson,0.39770493314715033,0.4877740442758558,0.4057430070656603,0.3690748290534706,-0.05201297637421753,-0.052918905775552576,-0.12868024096037692,0.4087170107174636,0.5269852780088673,0.18347770433601834
Population2016,Spearman,0.3314640248841174,0.35908104623511494,0.3038311280227876,0.3774587831148923,-0.07171128903232794,-0.1247162320947896,-0.29393707857388407,0.4545489632468209,0.3049853030360622,0.21291262461860622
Population2011,Pearson,0.39142618493349446,0.48600522489256637,0.4110059886443975,0.3741944877223483,-0.050690674492667,-0.05213823644995342,-0.12719956923185266,0.4075423285454314,0.5281847900632283,0.18976069168382184
Population2011,Spearman,0.3324549650025331,0.3604094435800323,0.3055515020991781,0.3767619227295189,-0.06313119553741837,-0.11482952537730497,-0.2953861178803938,0.4439871730310059,0.30971088752437537,0.21367481566510835
PopulationPercentChange20162021,Pearson,-0.13371899249996594,-0.12544555298072832,-0.05832388385832285,-0.09086513982136298,0.04010933853178523,0.050347872344609745,0.03499527734487662,-0.05820969181648658,-0.07326663786931424,0.06428178079946772
PopulationPercentChange20162021,Spearman,-0.07486809303145626,-0.043471871459488484,0.01911140252262597,-0.059675490498000174,0.04607427012719685,0.08055102248425317,0.004385751757540754,-0.1590003351754198,0.02139823701251284,0.0876619887789966
TotalPrivateDwellings2021,Pearson,0.40571808677332466,0.4898953658541646,0.4318863945311184,0.39384640628276557,-0.05384951309256908,-0.04810819570026946,-0.11917707397690391,0.4046550505456206,0.5313551748853061,0.19525121570568663
TotalPrivateDwellings2021,Spearman,0.3222515486184069,0.3518075263465511,0.2977335996507707,0.3794404798357978,-0.06615818283638394,-0.11885824948024475,-0.2333933836394879,0.4381945210775897,0.28915350615586105,0.21916259119992362
TotalPrivateDwellings2016,Pearson,0.40181079865743274,0.4880215480604853,0.4347655978480725,0.39703789172488324,-0.05493405382839292,-0.049544008810938144,-0.1173623991195584,0.4061121303852826,0.5296823169393386,0.19785101032548463
TotalPrivateDwellings2016,Spearman,0.3135073187822774,0.3410823510617676,0.2856583157854728,0.37365871632590314,-0.07511937185454456,-0.12670881725921657,-0.23223851020723196,0.44040487511244586,0.2786461581576533,0.20865524320171583
TotalPrivateDwellingsPercentChange20162021,Pearson,-0.010956867818407583,-0.03662527404398093,0.0028132920266769486,-0.06743896501365634,0.09345403599656203,0.10438916423203101,-0.07350159203231406,-0.09814800321944138,0.02285056160354761,0.10617028546691176
TotalPrivateDwellingsPercentChange20162021,Spearman,0.1324859707033365,0.08641222631097531,0.14062534436870114,-0.023877720621752353,0.13473350999863593,0.14566770908836882,-0.1528608479399624,-0.12165385550982195,0.14528653680934425,0.04711833900570653
PrivateDwellingsOccupiedByUsualResidents2021,Pearson,0.40633153488007284,0.4902440002936903,0.42910897613336324,0.392016207254307,-0.05362418409341351,-0.04848935357198143,-0.12073531268438176,0.4059041411067714,0.5281907050350492,0.19375913650779408
PrivateDwellingsOccupiedByUsualResidents2021,Spearman,0.3197469746927409,0.35055534852142406,0.29771182276372776,0.377001468486991,-0.061846359201886233,-0.11853159617460099,-0.2377622916237767,0.43316406017067577,0.29076499579703696,0.22110073414674328
PrivateDwellingsOccupiedByUsualResidents2016,Pearson,0.4006477730402055,0.4868653763125238,0.4306815665318163,0.39252865529359277,-0.0544787994325378,-0.0501130788237587,-0.11857534632111244,0.4072629356950938,0.5290621639007146,0.19630786279226153
PrivateDwellingsOccupiedByUsualResidents2016,Spearman,0.3177433155522081,0.3455793027293977,0.2890119563900821,0.3707841672362381,-0.06843386753236884,-0.1207419502094571,-0.243449498526018,0.43365404012914144,0.2837855034997819,0.20952631868343255
PrivateDwellingsOccupiedByUsualResidentsPercentChange20162021,Pearson,-0.05020809539397941,-0.0688321176784673,-0.02669445665574416,-0.07307806044862383,0.07375986856244092,0.0753399865482439,-0.032076313342664475,-0.12362972365423525,-0.03246808411523475,0.07255731916007425
PrivateDwellingsOccupiedByUsualResidentsPercentChange20162021,Spearman,0.049172205590037245,0.012285173104954935,0.06478542037544295,-0.06397948255787839,0.11403475565959072,0.11375158831828425,-0.06454128489441294,-0.15766430832396397,0.06715966962178178,0.008946998880125474
LandAreaInSquareKilometres2021,Pearson,-0.02223024401951547,-0.06930667062230944,-0.061101676628877055,-0.05924713653204433,-0.08971296772585138,-0.06967432422246035,-0.03253169326361659,-0.057321051048956316,-0.05862223671290245,-0.08120246477552495
LandAreaInSquareKilometres2021,Spearman,0.23737916089388203,0.2174107359505288,0.14604669295332748,0.16288022663750287,-0.08809839653212351,-0.09903039382766819,-0.29459078051667037,0.2759893779384173,0.15286285859776072,0.012641482928413716
LandAreaInSquareKilometres2016,Pearson,-0.023319749649317954,-0.07030857209439619,-0.0615313984174338,-0.0597629708161051,-0.08994853992636474,-0.07006106800756698,-0.032192152999496966,-0.05732687969832385,-0.059378465682880584,-0.08134461936025209
LandAreaInSquareKilometres2016,Spearman,0.19741487260173343,0.1788109934281356,0.1122816295932836,0.12658904438048052,-0.11674589143708171,-0.13586599826076345,-0.2711555658677796,0.2712311281195398,0.11805250465965679,-0.014285637900154005
PopulationDensityPerSquareKilometre2021,Pearson,0.35621147667368425,0.5104902331083466,0.5497211939746098,0.6002816900158446,0.019645346443186183,0.029146946087241183,-0.056671978948515334,0.3294532216893842,0.40327182045094156,0.29794819951093865
PopulationDensityPerSquareKilometre2021,Spearman,0.30869418106425833,0.39253052692024665,0.3564549755619982,0.40919859597994485,0.08354702714015372,0.08574649273148839,-0.09428561021455178,0.30135945134341646,0.349617033030522,0.31960848268538145
PopulationDensityPerSquareKilometre2016,Pearson,0.4170888490541166,0.5751533266518506,0.5639100524164636,0.6468507705078981,0.04556937277163723,0.07413547167635098,-0.06791743742765284,0.3022868786380221,0.4380081166063503,0.29683445766887884
PopulationDensityPerSquareKilometre2016,Spearman,0.34726650928700825,0.42922711723158585,0.3904181554971164,0.44518732445490583,0.11347997592009558,0.12719948941648018,-0.11851680717622859,0.3080357435021593,0.38434237094871754,0.3476698936028259
NationalPopulationRank2021,Pearson,-0.23938652633290283,-0.24362290306108314,-0.08006392326294103,-0.11996093589572988,0.04535836221214008,0.05326140143512179,0.1452191660335764,-0.3600365147922384,-0.14689198937951758,-0.03625949082233452
NationalPopulationRank2021,Spearman,-0.33265097513584607,-0.36550526290315777,-0.312716097936298,-0.3833820963905659,0.06435070121182178,0.11389311923445952,0.2894156401362784,-0.4487998650674906,-0.31262899038812636,-0.22658850968155855
NationalPopulationRank2016,Pearson,-0.23588866547251955,-0.23624103349607264,-0.0703473261504165,-0.10730291204463463,0.05082420861244376,0.06277286335507973,0.14745450520553083,-0.3633124926700432,-0.14141703530698996,-0.02525686954755303
NationalPopulationRank2016,Spearman,-0.3314640248841174,-0.35908104623511494,-0.3038311280227876,-0.3774587831148923,0.07171128903232794,0.1247162320947896,0.29393707857388407,-0.4545489632468209,-0.3049853030360622,-0.21291262461860622
ProvincialTerritorialPopulationRank2021,Pearson,-0.30167689103125916,-0.2642585481690059,-0.06392451335229536,-0.15573034563703686,0.2465939893950414,0.2478325845029375,-0.10509067071530138,-0.35689876810570703,-0.09177036920034783,0.15774933360698223
ProvincialTerritorialPopulationRank2021,Spearman,-0.3391270289599775,-0.317010727780619,-0.22454917749501446,-0.453761934569215,0.16457641580379942,0.1692617878109256,0.13245820868755126,-0.5060855540534474,-0.1872732295034362,-0.09291201652270904
ProvincialTerritorialPopulationRank2016,Pearson,-0.30118826872860394,-0.2634480702649505,-0.05235357064788852,-0.14577707431789438,0.251690034950996,0.2555639475065068,-0.10114902890319068,-0.36136668191235677,-0.08921893474617515,0.16826972184667638
